movieId,title,posterUrl,rtScore,imdbScore,rating,runtime,studio,boxOffice,releaseDate
49,Toy Story 3,http://resizing.flixster.com/Tv9f7mIJrCc--JvPXl60rMI3Pkw=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/11/13/43/11134356_ori.jpg,8.9,8.4,G,103,Walt Disney Pictures / Pixar,"$1,063,171,911.00 ",18-Jun-10
50,2012,http://resizing.flixster.com/z_2ln7vpS1fHYrvEZAcr9bYztSI=/180x266/dkpu1ddg7pbsk.cloudfront.net/movie/10/95/34/10953481_ori.jpg,5,5.8,PG-13,158,Columbia,"$769,304,749.00 ",13-Nov-09
51,Angels & Demons,http://resizing.flixster.com/0foscMemcena5-qSG3LfkWNmNmE=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/10/11171070_ori.jpg,5.1,6.7,PG-13,138,Columbia / Imagine,"$485,930,816.00 ",12-Dec-80
52,Avatar,http://resizing.flixster.com/OPDpDBP1P_qiiOjKOW9042R4R3g=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/67/11176792_ori.jpg,7.4,7.9,PG-13,162,Fox,"$2,749,064,328.00 ",18-Dec-09
53,Harry Potter and the Half-Blood Prince,http://resizing.flixster.com/5jRb-4cS1AXhTEYE-wQ3wpHlZHY=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/39/11163943_ori.jpg,7.2,7.5,PG,153,Warner Bros.,"$934,416,487.00 ",15-Jul-09
54,Ice Age: Dawn of the Dinosaurs,http://resizing.flixster.com/ee9qtz-r1W0A5tmu-Q1vSj1AxvA=/180x262/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/89/10938903_ori.jpg,5.4,7,PG,94,Fox / Blue Sky,"$886,686,817.00 ",01-Jul-09
55,Sherlock Holmes,http://resizing.flixster.com/t90NXGvHd_JXdRtTgD2BA8WPQKM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166728_ori.jpg,6.2,7.6,PG-13,128,Warner Bros.,"$524,028,679.00 ",25-Dec-09
56,The Hangover,http://resizing.flixster.com/F3uvNtnigwJMOXpuCgMttqWBU14=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/67/11166717_ori.jpg,6.8,7.8,R,100,Warner Bros. / Legendary,"$467,483,912.00 ",05-Jun-09
57,The Twilight Saga: New Moon,http://resizing.flixster.com/1fiLyMqNvE2Ggu52KZf7-3We8ak=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/44/11174487_ori.jpg,4.7,4.6,PG-13,130,Summit,"$709,827,462.00 ",20-Nov-09
58,Transformers: Revenge of the Fallen,http://resizing.flixster.com/oNcE9YJ500YHi2_2wGnclRTcyd8=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/66/11176669_ori.jpg,3.9,6,PG-13,150,Paramount / DreamWorks,"$836,303,693.00 ",24-Jun-09
59,Up,http://resizing.flixster.com/rqDzFEQ7SZfbZ_sFTjlbOufZRWw=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/10/89/43/10894361_ori.jpg,8.7,8.3,PG,96,Disney / Pixar,"$731,342,744.00 ",29-May-09
